adm0_iso3,adm0_name,admin_level,adm1_pcode,adm1_name,adm2_pcode,adm2_name,period_number,start_date,end_date,cropland_flooded_sq_km,cropland_flooded_ha,total_area_flooded_sq_km,total_area_flooded_ha,perc_cropland_flooded,perc_total_area_flooded,pop_exposed
PAK,Pakistan,admin2,PK22022,Balochistan,PK2042022,Dera Bugti,55,2026-04-01,2026-04-15,5.98,598,16.93,1693,0.996881875871634,0.14339343245823077,1862
PAK,Pakistan,admin2,PK22022,Balochistan,PK2032022,Chagai,55,2026-04-01,2026-04-15,0,0,135.66,13566,0,0.2674382777108194,473
PAK,Pakistan,admin2,PK22022,Balochistan,PK2022022,Barkhan,55,2026-04-01,2026-04-15,0.21,21,1.08,108,0.0329827634110964,0.02952774964087968,22
PAK,Pakistan,admin2,PK22022,Balochistan,PK2012022,Awaran,55,2026-04-01,2026-04-15,1.98,198,56.56,5656,0.710258744348632,0.20227134956508053,219
PAK,Pakistan,admin2,PK12022,Azad Kashmir,PK1082022,Neelum,55,2026-04-01,2026-04-15,0.01,1,0.25,25,0.1099531297835001,0.015042069305502514,27
PAK,Pakistan,admin2,PK12022,Azad Kashmir,PK1062022,Mirpur,55,2026-04-01,2026-04-15,1.02,102,25.13,2513,0.4176352883032254,2.3372072755617768,2495
PAK,Pakistan,admin2,PK12022,Azad Kashmir,PK1052022,Kotli,55,2026-04-01,2026-04-15,0.12,12,2.59,259,0.0672671468573712,0.1348035881410642,698
PAK,Pakistan,admin2,PK12022,Azad Kashmir,PK1022022,Bhimber,54,2026-03-16,2026-03-31,0.04,4,0.09,9,0.011321372931796,0.007931373128735528,93
PAK,Pakistan,admin2,PK12022,Azad Kashmir,PK1052022,Kotli,54,2026-03-16,2026-03-31,0,0,1.6099999999999999,161,0,0.09408197669361068,362
PAK,Pakistan,admin2,PK12022,Azad Kashmir,PK1062022,Mirpur,54,2026-03-16,2026-03-31,0.85,85,22.88,2288,0.3480294069193545,2.1279467753622545,3614
PAK,Pakistan,admin2,PK12022,Azad Kashmir,PK1072022,Muzaffarabad,54,2026-03-16,2026-03-31,0,0,0.12,12,0,0.011848614205830141,310
PAK,Pakistan,admin2,PK22022,Balochistan,PK2012022,Awaran,54,2026-03-16,2026-03-31,1.85,185,21.34,2134,0.6636255944671562,0.0763544394209143,156
PAK,Pakistan,admin2,PK22022,Balochistan,PK2032022,Chagai,54,2026-03-16,2026-03-31,0.01,1,37.95,3795,0.003872886106621,0.07439032633477399,80
PAK,Pakistan,admin2,PK22022,Balochistan,PK2042022,Dera Bugti,54,2026-03-16,2026-03-31,6.17,617,16.28,1628,1.0285553802889602,0.13788807326757163,1863
PAK,Pakistan,admin2,PK22022,Balochistan,PK2052022,Gwadar,54,2026-03-16,2026-03-31,2,200,299.82,29982,7.681104633212193,2.3300553351303614,3574
PAK,Pakistan,admin2,PK22022,Balochistan,PK2072022_1,Jaffarabad,54,2026-03-16,2026-03-31,1.75,175,8.149999999999999,815,0.2443561531589869,1.0014925165992588,1188
PAK,Pakistan,admin2,PK22022,Balochistan,PK2082022,Jhal Magsi,54,2026-03-16,2026-03-31,2.87,287,3.49,349,0.1677094704118303,0.07938595067505813,119
PAK,Pakistan,admin2,PK22022,Balochistan,PK2092022,Kachhi,54,2026-03-16,2026-03-31,0.11,11,2.5700000000000003,257,0.0074688260387399,0.04184763445829787,107
PAK,Pakistan,admin2,PK22022,Balochistan,PK2112022,Kech,54,2026-03-16,2026-03-31,4.52,452,70.78,7078,1.87429415165261,0.2596465559692419,2490
PAK,Pakistan,admin2,PK22022,Balochistan,PK2122022,Kharan,54,2026-03-16,2026-03-31,0,0,1.11,111,0,0.0124373427937227,14
PAK,Pakistan,admin2,PK22022,Balochistan,PK2132022,Khuzdar,54,2026-03-16,2026-03-31,3.1,310,11.610000000000001,1161,0.2254439106102488,0.03317936570769368,347
PAK,Pakistan,admin2,PK22022,Balochistan,PK2142022,Killa Abdullah,54,2026-03-16,2026-03-31,0.02,2,1,100,0.0096494962395345,0.02892358759061027,8
PAK,Pakistan,admin2,PK22022,Balochistan,PK2152022,Killa Saifullah,54,2026-03-16,2026-03-31,0.72,72,29.979999999999997,2998,0.0915855935462286,0.20754141977567994,338
PAK,Pakistan,admin2,PK22022,Balochistan,PK2172022,Lasbela,54,2026-03-16,2026-03-31,3.27,327,194.94,19494,0.3418649166812654,1.2433075615288325,1887
PAK,Pakistan,admin2,PK22022,Balochistan,PK2192022,Loralai,54,2026-03-16,2026-03-31,0,0,0.44,44,0,0.0112390241838457,14
